Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rose spots,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,NIL,Confusion,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Rose spots,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Tired,Swollen genitals,Rashes,NIL,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Rashes,Confusion,Critical,Diabetes
Frequent Urination,Fever,Muscle Aches,NIL,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Blurred Vision,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Frequent Infection,NIL,Seizures,Critical,cancer
Difficulties in stooling,Tired,Frequent Infection,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Painful Urination,Fever,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Tired,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cancer
Painful Urination,Fever,Abdominal Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Muscle Aches,NIL,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Fever,Blurred Vision,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Hunger,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,Rose spots,NIL,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,NIL,Seizures,Critical,cardiovascular_disease
Frequent Urination,Tired,Blurred Vision,NIL,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Tired,Abdominal Pain,Rashes,NIL,Critical,cancer
"Yellow,green discharge",Fever,Muscle Aches,Rashes,NIL,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Abdominal Pain,NIL,Seizures,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Fever,Headache,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Confusion,Critical,cancer
Painful Urination,Fever,Blurred Vision,NIL,Disorientation,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Fever,Abdominal Pain,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,Rose spots,NIL,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,Rashes,NIL,Critical,Diabetes
Painful Urination,Tired,Frequent Infection,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Hunger,Muscle Aches,Rashes,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,NIL,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,Swollen testicles,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Rashes,NIL,Critical,cardiovascular_disease
Painful Urination,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Tired,Blurred Vision,NIL,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Swollen genitals,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Swollen genitals,Swollen testicles,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Tired,Muscle Aches,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Urge to urinate,Swollen genitals,NIL,Seizures,Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,NIL,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,NIL,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Tired,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Seizures,Critical,cardiovascular_disease
Painful Urination,Hunger,Swollen genitals,NIL,Seizures,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Rashes,NIL,Critical,Diabetes
Difficulties in stooling,Tired,Muscle Aches,Bloody diarrhea,Confusion,Critical,cancer
Painful Urination,Fever,Headache,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Tired,Muscle Aches,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Urge to urinate,Headache,NIL,NIL,Not Critical,Diabetes
Painful Urination,Fever,Abdominal Pain,Rashes,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,NIL,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Headache,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Frequent Infection,NIL,NIL,Not Critical,cancer
Painful Urination,Hunger,Blurred Vision,NIL,Disorientation,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Rose spots,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,Rashes,NIL,Critical,cancer
Frequent Urination,Fever,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Urge to urinate,Frequent Infection,NIL,Seizures,Critical,Diabetes
Frequent Urination,Tired,Headache,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Blurred Vision,NIL,Disorientation,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,NIL,Critical,cancer
Painful Urination,Hunger,Anal Itching and Pain,Rashes,Disorientation,Critical,cancer
Painful Urination,Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Swollen testicles,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Swollen testicles,NIL,Critical,cancer
Painful Urination,Fever,Headache,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Rose spots,NIL,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Headache,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Abdominal Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Tired,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Hunger,Swollen genitals,Rashes,NIL,Critical,Diabetes
Painful Urination,Fever,Headache,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Headache,Bloody diarrhea,NIL,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Tired,Blurred Vision,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Headache,Rashes,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,cancer
Frequent Urination,Hunger,Muscle Aches,NIL,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Swollen testicles,NIL,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,NIL,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Headache,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Anal Itching and Pain,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Fever,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Headache,Bloody diarrhea,Confusion,Critical,cardiovascular_disease
Frequent Urination,Hunger,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Blurred Vision,Bloody diarrhea,Confusion,Critical,Diabetes
Painful Urination,Fever,Frequent Infection,Rashes,NIL,Critical,cancer
Painful Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Painful Urination,Urge to urinate,Blurred Vision,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Fever,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Painful Urination,Fever,Frequent Infection,NIL,Seizures,Critical,cancer
Painful Urination,Hunger,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Fever,Abdominal Pain,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,Bloody diarrhea,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Swollen genitals,Rashes,NIL,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Fever,Anal Itching and Pain,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Fever,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Frequent Infection,Bloody diarrhea,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Rashes,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Muscle Aches,NIL,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Disorientation,Critical,cancer
Painful Urination,Tired,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Tired,Abdominal Pain,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Rose spots,NIL,Critical,cardiovascular_disease
Painful Urination,Hunger,Blurred Vision,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Swollen genitals,Swollen testicles,NIL,Critical,Diabetes
Frequent Urination,Tired,Headache,NIL,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,NIL,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Frequent Infection,NIL,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,Rose spots,Confusion,Critical,Diabetes
Difficulties in stooling,Fever,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Fever,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,Swollen testicles,Confusion,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,Swollen testicles,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,Rashes,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Rose spots,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Fever,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Frequent Infection,Swollen testicles,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Headache,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cardiovascular_disease
Painful Urination,Hunger,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,NIL,Seizures,Critical,Diabetes
Frequent Urination,Fever,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Abdominal Pain,Swollen testicles,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Tired,Muscle Aches,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Rashes,NIL,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,NIL,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Headache,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Abdominal Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Tired,Headache,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Fever,Muscle Aches,Rashes,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,NIL,Confusion,Critical,cancer
Frequent Urination,Tired,Muscle Aches,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,NIL,NIL,Not Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Frequent Infection,Rose spots,NIL,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Bloody diarrhea,NIL,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Seizures,Critical,cancer
Painful Urination,Tired,Abdominal Pain,Swollen testicles,Confusion,Critical,cancer
Difficulties in stooling,Fever,Muscle Aches,NIL,NIL,Not Critical,cancer
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Disorientation,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Swollen genitals,NIL,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,Confusion,Critical,cardiovascular_disease
Frequent Urination,Tired,Blurred Vision,Swollen testicles,NIL,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Headache,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Anal Itching and Pain,Rose spots,Disorientation,Critical,cancer
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Muscle Aches,NIL,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Hunger,Headache,NIL,Severe pelvic pain,Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Tired,Blurred Vision,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Headache,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Tired,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Blurred Vision,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Hunger,Muscle Aches,NIL,Confusion,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,NIL,Confusion,Critical,cancer
Painful Urination,Tired,Muscle Aches,Swollen testicles,NIL,Critical,cancer
Frequent Urination,Hunger,Headache,NIL,Confusion,Critical,Diabetes
Frequent Urination,Fever,Abdominal Pain,NIL,NIL,Not Critical,cardiovascular_disease
Painful Urination,Fever,Frequent Infection,NIL,NIL,Not Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Rashes,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,NIL,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,NIL,Not Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Disorientation,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Hunger,Abdominal Pain,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Headache,Bloody diarrhea,Seizures,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,NIL,Confusion,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Urge to urinate,Headache,Rose spots,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Rose spots,NIL,Critical,cancer
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,NIL,Not Critical,cardiovascular_disease
Frequent Urination,Tired,Blurred Vision,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Tired,Muscle Aches,NIL,NIL,Not Critical,cancer
"Yellow,green discharge",Hunger,Frequent Infection,NIL,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Urge to urinate,Muscle Aches,Swollen testicles,NIL,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Swollen genitals,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
Frequent Urination,Hunger,Headache,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Headache,NIL,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Blurred Vision,Rose spots,NIL,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,NIL,Severe pelvic pain,Critical,Diabetes
Painful Urination,Tired,Swollen genitals,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Headache,Swollen testicles,NIL,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Hunger,Headache,NIL,NIL,Not Critical,Diabetes
Difficulties in stooling,Tired,Headache,NIL,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,NIL,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Hunger,Blurred Vision,NIL,Seizures,Critical,cancer
